Location,Airport,IATA,ICAO
La Rochelle,La Rochelle – Île de Ré Airport,LRH,LFBH
Lille,Lille Airport,LIL,LFQQ
Limoges,Limoges – Bellegarde Airport,LIG,LFBL
Lyon,Lyon–Saint-Exupéry Airport,LYS,LFLL
Marseille,Marseille Provence Airport,MRS,LFML
Mulhouse,EuroAirport Basel Mulhouse Freiburg,BSL,LFSB
Nantes,Nantes Atlantique Airport,NTE,LFRS
Nice,Nice Côte d'Azur Airport,NCE,LFMN
Nîmes,Nîmes–Alès–Camargue–Cévennes Airport,FNI,LFTW
Paris,Charles de Gaulle Airport,CDG,LFPG
Paris,Orly Airport,ORY,LFPO
Pau,Pau Pyrénées Airport,PUF,LFBP
Perpignan,Perpignan–Rivesaltes Airport,PGF,LFMP
Poitiers,Poitiers–Biard Airport,PIS,LFBI
Rodez,Rodez–Aveyron Airport,RDZ,LFCR
Saint-Étienne,Saint-Étienne–Bouthéon Airport,EBU,LFMH
Strasbourg,Strasbourg Airport,SXB,LFST
Toulon,Toulon–Hyères Airport,TLN,LFTH
Toulouse,Toulouse–Blagnac Airport,TLS,LFBO
Tours,Tours Val de Loire Airport,TUF,LFOT
Gibraltar,Gibraltar International Airport,GIB,LXGB
Alderney,Alderney Airport,ACI,EGJA
Saint Peter Port,Guernsey Airport,GCI,EGJB
Cork,Cork Airport,ORK,EICK
Dublin,Dublin Airport,DUB,EIDW
Kerry,Kerry Airport,KIR,EIKY
Knock,Ireland West Airport,NOC,EIKN
Shannon,Shannon Airport,SNN,EINN
Douglas,Isle of Man Airport,IOM,EGNS
Saint Helier,Jersey Airport,JER,EGJJ
Luxembourg City,Luxembourg Airport,LUX,ELLX
Amsterdam,Amsterdam Airport,AMS,EHAM
Eindhoven,Eindhoven Airport,EIN,EHEH
Groningen,Groningen Airport Eelde,GRQ,EHGG
Maastricht,Maastricht Aachen Airport,MST,EHBK
Rotterdam,Rotterdam The Hague Airport,RTM,EHRD
Graz,Graz Airport,GRZ,LOWG
Klagenfurt,Klagenfurt Airport,KLU,LOWK
Innsbruck,Innsbruck Airport,INN,LOWI
Linz,Linz Airport,LNZ,LOWL
Salzburg,Salzburg Airport,SZG,LOWS
Vienna,Vienna International Airport,VIE,LOWW
Brno,Brno–Tuřany Airport,BRQ,LKTB
České Budějovice,České Budějovice Airport,JCL,LKCS
Karlovy Vary,Karlovy Vary Airport,KLV,LKKV
Ostrava,Leoš Janáček Airport,OSR,LKMT
Pardubice,Pardubice Airport,PED,LKPD
Prague,Václav Havel Airport,PRG,LKPR
Baden-Baden/Karlsruhe,Karlsruhe/Baden-Baden Airport,FKB,EDSB
Berlin,Berlin Brandenburg Airport,BER,EDDB
Bremen,Bremen Airport,BRE,EDDW
Cologne/Bonn,Cologne/Bonn Airport,CGN,EDDK
Dortmund,Dortmund Airport,DTM,EDLW
Düsseldorf,Düsseldorf Airport,DUS,EDDL
Frankfurt,Frankfurt Airport,FRA,EDDF
Frankfurt,Frankfurt-Hahn Airport,HHN,EDFH
Freiburg im Breisgau,EuroAirport Basel–Mulhouse–Freiburg,MLH/BSL/EAP,
Friedrichshafen,Friedrichshafen Airport,FDH,EDNY
Hamburg,Hamburg Airport,HAM,EDDH
Hanover,Hannover Airport,HAJ,EDDV
Leipzig,Leipzig/Halle Airport,LEJ,EDDP
Lübeck,Lübeck Airport,LBC,EDHL
Memmingen,Memmingen Airport,FMM,EDJA
Munich,Munich Airport,MUC,EDDM
Nuremberg,Nuremberg Airport,NUE,EDDN
Stuttgart,Stuttgart Airport,STR,EDDS
Weeze,Weeze Airport,NRN,EDLV
Budapest,Budapest Ferenc Liszt International Airport,BUD,LHBP
Debrecen,Debrecen International Airport,DEB,LHDC
Győr,Győr-Pér International Airport,QGY,LHPR
Hévíz,Hévíz-Balaton Airport,SOB,LHSM
Pécs,Pécs-Pogány International Airport,QPJ,LHPP
Bydgoszcz,Bydgoszcz Ignacy Jan Paderewski Airport,BZG,EPBY
Gdańsk,Gdańsk Lech Wałęsa Airport,GDN,EPGD
Katowice,Katowice Airport,KTW,EPKT
Kraków,Kraków John Paul II International Airport,KRK,EPKK
Lublin,Lublin Airport,LUZ,EPLB
Łódź,Łódź Władysław Reymont Airport,LCJ,EPLL
Olsztyn,Olsztyn-Mazury Airport,SZY,EPSY
Poznań,Poznań–Ławica Airport,POZ,EPPO
Rzeszów,Rzeszów–Jasionka Airport,RZE,EPRZ
Szczecin,Solidarity Szczecin–Goleniów Airport,SZZ,EPSC
Warsaw,Warsaw Chopin Airport,WAW,EPWA
Warsaw,Warsaw Modlin Airport,WMI,EPMO
Warsaw,Warsaw Radom Airport,RDO,EPRA
Wrocław,Wrocław Airport,WRO,EPWR
Bratislava,Bratislava Airport,BTS,LZIB
Košice,Košice International Airport,KSC,LZKZ
Piešťany,Piešťany Airport,PZY,LZPP
Poprad,Poprad-Tatry Airport,TAT,LZTT
Žilina,Žilina Airport,ILZ,LZZI
Basel,EuroAirport Basel Mulhouse Freiburg,BSL,LFSB
Bern,Bern Airport,BRN,LSZB
Geneva,Geneva Airport,GVA,LSGG
Lugano,Lugano Airport,LUG,LSZA
St. Gallen,St. Gallen–Altenrhein Airport,ACH,LSZR
Zürich,Zurich Airport,ZRH,LSZH
Brač,Brač Airport,BWK,LDSB
Dubrovnik,Dubrovnik Airport,DBV,LDDU
Mali Lošinj,Lošinj Airport,LSZ,LDLO
Osijek,Osijek Airport,OSI,LDOS
Pula,Pula Airport,PUY,LDPL
Rijeka,Rijeka Airport,RJK,LDRI
Split,Split Airport,SPU,LDSP
Zadar,Zadar Airport,ZAD,LDZD
Zagreb,Zagreb Airport,ZAG,LDZA
Athens,Athens International Airport,ATH,LGAV
Cephalonia,Kefalonia Island International Airport,EFL,LGKF
Chania,Chania International Airport,CHQ,LGSA
Chios,Chios Island National Airport,JKH,LGHI
Corfu,Corfu International Airport,CFU,LGKR
Heraklion,Heraklion International Airport,HER,LGIR
Kalamata,Kalamata International Airport,KLX,LGKL
Karpathos,Karpathos Island National Airport,AOK,LGKP
Kavala,Kavala International Airport,KVA,LGKV
Kos,Kos International Airport,KGS,LGKO
Mykonos,Mykonos Airport,JMK,LGMK
Mytilene,Mytilene International Airport,MJT,LGMT
Preveza,Aktion National Airport,PVK,LGPZ
Rhodes,Rhodes International Airport,RHO,LGRP
Samos,Samos International Airport,SMI,LGSM
Santorini,Santorini (Thira) International Airport,JTR,LGSR
Skiathos,Skiathos International Airport,JSI,LGSK
Skyros,Skyros Island National Airport,SKU,LGSY
Thessaloniki,Thessaloniki Airport,SKG,LGTS
Volos,Nea Anchialos National Airport,VOL,LGBL
Zakynthos,Zakynthos International Airport,ZTH,LGZA
Alghero,Fertilia Airport,AHO,LIEA
Ancona,Ancona Airport,AOI,LIPY
Bari,Palese Airport,BRI,LIBD
Bergamo,Orio al Serio Airport,BGY,LIME
Bologna,Bologna Airport,BLQ,LIPE
Brescia,Brescia Airport,VBS,LIPO
Brindisi,Brindisi Airport,BDS,LIBR
Cagliari,Cagliari Airport,CAG,LIEE
Catania,Fontanarossa Airport,CTA,LICC
Cuneo,Cuneo Levaldigi Airport,CUF,LIMZ
Florence,Peretola Airport,FLR,LIRQ
Genoa,Cristoforo Colombo Airport,GOA,LIMJ
Lamezia,Lamezia Terme Airport,SUF,LICA
Milan,Linate Airport,LIN,LIML
Milan,Milan Malpensa Airport,MXP,LIMC
Naples,Naples International Airport,NAP,LIRN
Olbia,Costa Smeralda Airport,OLB,LIEO
Palermo,Palermo Airport,PMO,LICJ
Parma,Giuseppe Verdi Airport,PMF,LIMP
Perugia,San Egidio Airport,PEG,LIRZ
Pescara,Abruzzo Airport,PSR,LIBP
Pisa,Galileo Galilei Airport,PSA,LIRP
Rimini,Federico Fellini Airport,RMI,LIPR
Rome,Leonardo da Vinci–Fiumicino Airport,FCO,LIRF
Rome,Rome Ciampino Airport,CIA,LIRA
Salerno,Salerno Costa d'Amalfi Airport,QSR,LIRI
Trapani,Vincenzo Florio Airport,TPS,LICT
Trieste,Friuli Venezia Giulia Airport,TRS,LIPQ
Turin,Caselle Airport,TRN,LIMF
Venice,Venice Marco Polo Airport,VCE,LIPZ
Verona,Verona Villafranca Airport,VRN,LIPX
Ħal Luqa,Malta International Airport,MLA,LMML
Beja,Beja Airport,BYJ,LPBJ
Faro,Faro Airport,FAO,LPFR
Funchal,Madeira Airport,FNC,LPMA
Lisbon,Lisbon Airport,LIS,LPPT
Ponta Delgada,João Paulo II Airport,PDL,LPPD
Porto Santo Island,Porto Santo Airport,PXO,LPPS
Terceira Island,Lajes Airport,TER,LPLA
Ljubljana,Ljubljana Jože Pučnik Airport,LJU,LJLJ
Maribor,Maribor Edvard Rusjan Airport,MBX,LJMB
Portorož,Portorož Airport,POW,LJPZ
A Coruña,A Coruña Airport,LCG,LECO
Alicante,Alicante–Elche Miguel Hernández Airport,ALC,LEAL
Almería,Almería Airport,LEI,LEAM
Asturias,Asturias Airport,OVD,LEAS
Barcelona,Josep Tarradellas Barcelona–El Prat Airport,BCN,LEBL
Bilbao,Bilbao Airport,BIO,LEBB
Castellón de la Plana,Castellón–Costa Azahar Airport,CDT,LECH
Fuerteventura,Fuerteventura Airport,FUE,GCFV
Girona,Girona-Costa Brava Airport,GRO,LEGE
Gran Canaria,Gran Canaria Airport,LPA,GCLP
Granada,Federico García Lorca Granada Airport,GRX,LEGR
Huesca,Huesca-Pirineos Airport,HSK,LEHC
Ibiza,Ibiza Airport,IBZ,LEIB
Jerez de la Frontera,Jerez Airport,XRY,LEJR
La Palma,La Palma Airport,SPC,GCLA
Lanzarote,Lanzarote Airport,ACE,GCRR
Lleida,Alguaire Airport,ILD,LEDA
Madrid,Madrid-Barajas Airport,MAD,LEMD
Málaga,Málaga Airport,AGP,LEMG
Menorca,Menorca Airport,MAH,LEMH
Murcia,Región de Murcia International Airport,RMU,LEMI
Palma de Mallorca,Palma de Mallorca Airport,PMI,LEPA
Pamplona,Pamplona Airport,PNA,LEPP
Reus,Reus Airport,REU,LERS
Santander,Santander Airport,SDR,LEXJ
Santiago de Compostela,Santiago de Compostela Airport,SCQ,LEST
Seville,Seville Airport,SVQ,LEZL
Tenerife,Tenerife North–Ciudad de La Laguna Airport,TFN,GCXO
Tenerife,Tenerife South Airport,TFS,GCTS
Valencia,Valencia Airport,VLC,LEVC
Valladolid,Valladolid Airport,VLL,LEVD
Vigo,Vigo–Peinador Airport,VGO,LEVX
Vitoria-Gasteiz,Vitoria Airport,VIT,LEVT
Zaragoza,Zaragoza Airport,ZAZ,LEZG
Kukes,Kukës International Airport Zayed,KFZ,LAKU
Tirana,Tirana International Airport Nënë Tereza,TIA,LATI
Grodno,Hrodna Airport,GNA,UMMG
Gomel,Gomel Airport,GME,UMGG
Minsk,Minsk International Airport,MSQ,UMMS
Banja Luka,Banja Luka International Airport,BNX,LQBK
Mostar,Mostar International Airport,OMO,LQMO
Sarajevo,Sarajevo International Airport,SJJ,LQSA
Tuzla,Tuzla International Airport,TZL,LQTZ
Burgas,Burgas Airport,BOJ,LBBG
Plovdiv,Plovdiv Airport,PDV,LBPD
Sofia,Sofia Airport,SOF,LBSF
Varna,Varna Airport,VAR,LBWN
Pristina,Pristina International Airport,PRN,BKPR
Chişinău,Chișinău International Airport,RMO,LUKK
Arad,Arad International Airport,ARW,LRAR
Bacau,George Enescu International Airport,BCM,LRBC
Baia Mare,Maramureș Airport,BAY,LRBM
Brașov,Brașov-Ghimbav International Airport,GHV,LRBV
Bucharest,Henri Coandă International Airport,OTP,LROP
Bucharest,Aurel Vlaicu International Airport,BBU,LRBS
Cluj-Napoca,Cluj-Napoca International Airport,CLJ,LRCL
Constanța,Mihail Kogălniceanu International Airport,CND,LRCK
Craiova,Craiova International Airport,CRA,LRCV
Iași,Iași International Airport,IAS,LRIA
Oradea,Oradea International Airport,OMR,LROD
Satu Mare,Satu Mare International Airport,SUJ,LRSM
Sibiu,Sibiu International Airport,SBZ,LRSB
Suceava,Suceava International Airport,SCV,LRSV
Târgu Mureș,Târgu Mureș International Airport,TGM,LRTM
Timișoara,Timișoara Traian Vuia International Airport,TSR,LRTR
Podgorica,Podgorica Airport,TGD,LYPG
Tivat,Tivat Airport,TIV,LYTV
Ohrid,Ohrid St. Paul the Apostle Airport,OHD,LWOH
Skopje,Skopje International Airport,SKP,LWSK
Abakan,Abakan International Airport,ABA,UNAA
Anadyr,Ugolny Airport,DYR,UHMA
Anapa,Anapa Airport,AAQ,URKA
Arkhangelsk,Talagi Airport,ARH,ULAA
Astrakhan,Narimanovo Airport,ASF,URWA
Barnaul,Barnaul Airport,BAX,UNBB
Belgorod,Belgorod International Airport,EGO,UUOB
Blagoveshchensk,Ignatyevo Airport,BQS,UHBB
Bratsk,Bratsk Airport,BTK,UIBB
Bryansk,Bryansk International Airport,BZK,UUBP
Cheboksary,Cheboksary International Airport,CSY,UWKS
Chelyabinsk,Chelyabinsk Airport,CEK,USCC
Cherepovets,Cherepovets Airport,CEE,ULWC
Chita,Chita-Kadala International Airport,HTA,UIAA
Elista,Elista Airport,ESL,URWI
Grozny,Grozny Airport,GRV,URMG
Irkutsk,Irkutsk Airport,IKT,UIII
Kaliningrad,Khrabrovo Airport,KGD,UMKK
Kazan,Kazan Airport,KZN,UWKD
Khabarovsk,Khabarovsk Novy Airport,KHV,UHHH
Komsomolsk-on-Amur,Komsomolsk-on-Amur Airport,KXK,UHKK
Krasnodar,Pashkovsky Airport,KRR,URKK
Krasnoyarsk,Yemelyanovo International Airport,KJA,UNKL
Kursk,Kursk Vostochny Airport,URS,UUOK
Magadan,Sokol Airport,GDX,UHMM
Magnitogorsk,Magnitogorsk International Airport,MQF,USCM
Makhachkala,Uytash Airport,MCX,URML
Mineralnye Vody,Mineralnye Vody Airport,MRV,URMM
Moscow,Domodedovo International Airport,DME,UUDD
Moscow,Zhukovsky International Airport,ZIA,UUBW
Moscow,Sheremetyevo International Airport,SVO,UUEE
Moscow,Vnukovo Airport,VKO,UUWW
Murmansk,Murmansk Airport,MMK,ULMM
Nalchik,Nalchik Airport,NAL,URMN
Nizhnekamsk,Begishevo Airport,NBC,UWKE
Nizhnevartovsk,Nizhnevartovsk Airport,NJC,USNN
Nizhny Novgorod,Strigino Airport,GOJ,UWGG
Novokuznetsk,Spichenkovo Airport,NOZ,UNWW
Novosibirsk,Tolmachevo Airport,OVB,UNNT
Omsk,Omsk Tsentralny Airport,OMS,UNOO
Orenburg,Orenburg Tsentralny Airport,REN,UWOO
Orsk,Orsk Airport,OSW,UWOR
Perm,Perm International Airport,PEE,USPP
Petrozavodsk,Petrozavodsk Airport,PES,ULPB
Provideniya,Provideniya Bay Airport,PVS,UHMD
Petropavlovsk-Kamchatsky,Yelizovo Airport,PKC,UHPP
Pskov,Pskov Airport,PKV,ULOO
Rostov-on-Don,Platov International Airport,ROV,URRP
Saint Petersburg,Pulkovo Airport,LED,ULLI
Samara,Samara Kurumoch Airport,KUF,UWWW
Saratov,Saratov Gagarin Airport,GSV,UWSG
Sochi,Sochi International Airport,AER,URSS
Stavropol,Stavropol Shpakovskoye Airport,STW,URMT
Surgut,Surgut International Airport,SGC,USRR
Syktyvkar,Syktyvkar Airport,SCW,UUYY
Tomsk,Bogashevo Airport,TOF,UNTT
Tyumen,Roshchino International Airport,TJM,USTR
Ulan-Ude,Baikal International Airport,UUD,UIUU
Ulyanovsk,Ulyanovsk Baratayevka Airport,ULV,UWLL
Ufa,Ufa International Airport,UFA,UWUU
Vladivostok,Vladivostok International Airport,VVO,UHWW
Vladikavkaz,Beslan Airport,OGZ,URMO
Volgograd,Volgograd International Airport,VOG,URWW
Voronezh,Voronezh International Airport,VOZ,UUOO
Yakutsk,Yakutsk Airport,YKS,UEEE
Yaroslavl,Tunoshna Airport,IAR,UUDL
Yekaterinburg,Koltsovo International Airport,SVX,USSS
Yuzhno-Sakhalinsk,Yuzhno-Sakhalinsk Airport,UUS,UHSS
Belgrade,Belgrade Nikola Tesla Airport,BEG,LYBE
Kraljevo,Morava Airport,KVO,LYKV
Niš,Niš Constantine the Great Airport,INI,LYNI
Chernivtsi,Chernivtsi International Airport,CWC,UKLN
Ivano-Frankivsk,Ivano-Frankivsk International Airport,IFO,UKLI
Kharkiv,Kharkiv International Airport,HRK,UKHH
Kryvyi Rih,Kryvyi Rih International Airport,KWG,UKDR
Kyiv,Boryspil International Airport,KBP,UKBB
Kyiv,Kyiv International Airport,IEV,UKKK
Lviv,Lviv Danylo Halytskyi International Airport,LWO,UKLL
Mykolaiv,Mykolaiv International Airport,NLV,UKON
Odesa,Odesa International Airport,ODS,UKOO
Poltava,Poltava Airport,PLV,UKHP
Simferopol,Simferopol International Airport,SIP,UKFF
Uzhhorod,Uzhhorod International Airport,UDJ,UKLU
Zaporizhzhia,Zaporizhzhia International Airport,OZH,UKDE
Aalborg,Aalborg Airport,AAL,EKYT
Aarhus,Aarhus Airport,AAR,EKAH
Billund,Billund Airport,BLL,EKBI
Copenhagen,Copenhagen Airport,CPH,EKCH
Pärnu,Pärnu Airport,EPU,EEPU
Tallinn,Lennart Meri Tallinn Airport,TLL,EETN
Tartu,Tartu Airport,TAY,EETU
Vágar,Vágar Airport,FAE,EKVG
Åland,Mariehamn Airport,MHQ,EFMA
Helsinki,Helsinki-Vantaa Airport,HEL,EFHK
Kittilä,Kittilä Airport,KTT,EFKT
Kuopio,Kuopio Airport,KUO,EFKU
Kuusamo,Kuusamo Airport,KAO,EFKS
Lappeenranta,Lappeenranta Airport,LPP,EFLP
Oulu,Oulu Airport,OUL,EFOU
Rovaniemi,Rovaniemi Airport,RVN,EFRO
Savonlinna,Savonlinna Airport,SVL,EFSA
Tampere,Tampere–Pirkkala Airport,TMP,EFTP
Turku,Turku Airport,TKU,EFTU
Vaasa,Vaasa Airport,VAA,EFVA
Akureyri,Akureyri Airport,AEY,BIAR
Egilsstaðir,Egilsstaðir Airport,EGS,BIEG
Reykjavík,Keflavik International Airport,KEF,BIKF
Reykjavík,Reykjavík Airport,RKV,BIRK
Riga,Riga International Airport,RIX,EVRA
Ventspils,Ventspils International Airport,VNT,EVVA
Kaunas,Kaunas Airport,KUN,EYKA
Palanga,Palanga International Airport,PLQ,EYPA
Šiauliai,Šiauliai International Airport,SQQ,EYSA
Vilnius,Vilnius Airport,VNO,EYVI
Ålesund,Ålesund Airport,AES,ENAL
Bergen,Bergen Airport,BGO,ENBR
Bodø,Bodø Airport,BOO,ENBO
Haugesund,Haugesund Airport,HAU,ENHD
Kristiansand,"Kristiansand Airport, Kjevik",KRS,ENCN
Kristiansund,"Kristiansund Airport, Kvernberget",KSU,ENKB
Oslo,"Oslo Airport, Gardermoen",OSL,ENGM
Oslo,"Sandefjord Airport, Torp",TRF,ENTO
Stavanger,Stavanger Airport,SVG,ENZV
Tromsø,Tromsø Airport,TOS,ENTC
Trondheim,Trondheim Airport,TRD,ENVA
Gothenburg,Göteborg Landvetter Airport,GOT,ESGG
Luleå,Luleå Airport,LLA,ESPA
Malmö,Malmö Airport,MMX,ESMS
Norrköping,Norrköping Airport,NRK,ESSP
Östersund,Åre Östersund Airport,OSD,ESNZ
Stockholm,Stockholm Arlanda Airport,ARN,ESSA
Stockholm,Stockholm Bromma Airport,BMA,ESSB
Stockholm,Stockholm Skavsta Airport,NYO,ESKN
Stockholm,Stockholm Västerås Airport,VST,ESOW
Sundsvall,Sundsvall–Timrå Airport,SDL,ESNN
Umeå,Umeå Airport,UME,ESNU
Växjö,Växjö Airport,VXO,ESMX
Visby,Visby Airport,VBY,ESSV
Pago Pago,Pago Pago International Airport,PPG,NSTU
Adelaide,Adelaide Airport,ADL,YPAD
Brisbane,Brisbane Airport,BNE,YBBN
Broome,Broome International Airport,BME,YBRM
Cairns,Cairns Airport,CNS,YBCS
Canberra,Canberra Airport,CBR,YSCB
Darwin,Darwin International Airport,DRW,YPDN
Gold Coast,Gold Coast Airport,OOL,YBCG
Hobart,Hobart Airport,HBA,YMHB
Horn Island,Horn Island Airport,HID,YHID
Melbourne,Melbourne Airport,MEL,YMML
Newcastle,Newcastle Airport[2] (upcoming),NTL,YWLM
Perth,Perth Airport,PER,YPPH
Sunshine Coast,Sunshine Coast Airport[3],MCY,YBMC
Sydney,Sydney Airport,SYD,YSSY
Sydney,Western Sydney Airport (upcoming),WSI,YSWS
Flying Fish Cove,Christmas Island Airport,XCH,YPXM
Cocos (Keeling) Islands,Cocos (Keeling) Islands Airport,CCK,YPCC
Avarua,Rarotonga Airport,RAR,NCRG
Hanga Roa,Mataveri International Airport,IPC,SCIP
Nadi,Nadi International Airport,NAN,NFFN
Suva,Nausori International Airport,SUV,NFNA
Papeete,Faa'a International Airport,PPT,NTAA
Hagåtña,Antonio B. Won Pat International Airport,GUM,PGUM
Kiritimati,Cassidy International Airport,CXI,PLCH
Tarawa,Bonriki International Airport,TRW,NGTA
Kwajalein,Bucholz Army Airfield,KWA,PKWA
Majuro,Marshall Islands International Airport,MAJ,PKMJ
Chuuk,Chuuk International Airport,TKK,PTKK
Kosrae,Kosrae International Airport,KSA,PTSA
Pohnpei,Pohnpei International Airport,PNI,PTPN
Yap,Yap International Airport,YAP,PTYA
Yaren District,Nauru International Airport,INU,ANYN
Nouméa,La Tontouta International Airport,NOU,NWWW
Auckland,Auckland Airport,AKL,NZAA
Christchurch,Christchurch Airport,CHC,NZCH
Dunedin,Dunedin Airport,DUD,NZDN
Hamilton,Hamilton Airport,HLZ,NZHN
Queenstown,Queenstown Airport,ZQN,NZQN
Wellington,Wellington Airport,WLG,NZWN
Burnt Pine,Norfolk Island Airport,NLK,YSNF
Rota,Rota International Airport,ROP,PGRO
Saipan,Saipan International Airport,SPN,PGSN
Tinian,Tinian International Airport,TIQ,PGWT
Alofi,Niue International Airport,IUE,NIUE
Koror,Roman Tmetuchl International Airport,ROR,PTRO
Daru,Daru Airport,DAU,AYDU
Mount Hagen,Mount Hagen Airport,HGU,AYMH
Port Moresby,Jacksons International Airport,POM,AYPY
Apia,Faleolo International Airport,APW,NSFA
Honiara,Honiara International Airport,HIR,AGGH
Nukuʻalofa,Fuaʻamotu International Airport,TBU,NFTF
Vavaʻu,Vavaʻu International Airport,VAV,NFTV
Funafuti,Funafuti International Airport,FUN,NGFU
Luganville,Santo-Pekoa International Airport,SON,NVSS
Port Vila,Bauerfield International Airport,VLI,NVVV
Futuna,Pointe Vele Airport,FUT,NLWF
Wallis,Hihifo Airport,WLS,NLWW
